[Received] 12.229847431182861 -> {'Location': 'entrance', 'Entity_Id': 92570, 'Timestamp': '12.062389135360718'}
[Received] 17.25165605545044 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '17.157368659973145'}
[Received] 18.564363718032837 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '18.407000064849854'}
[Received] 18.948137283325195 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '18.85199999809265'}
[Received] 19.433216333389282 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '19.33300018310547'}
[Received] 19.957770109176636 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '19.84600019454956'}
[Received] 20.5340518951416 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '20.437000036239624'}
[Received] 21.13431167602539 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '21.02900004386902'}
[Received] 21.739618062973022 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '21.63700008392334'}
[Received] 22.269688844680786 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '22.165000200271606'}
[Received] 22.848467350006104 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '22.757000207901'}
[Received] 23.053367376327515 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '22.956215858459473'}
[Received] 23.47210431098938 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '23.365000009536743'}
[Received] 24.256202936172485 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '24.14900016784668'}
[Received] 24.968480825424194 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '24.837000131607056'}
[Received] 25.53864097595215 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '25.42900013923645'}
[Received] 26.41417908668518 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '26.30900001525879'}
[Received] 27.15012502670288 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '27.045000076293945'}
[Received] 30.30928874015808 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '30.212566375732422'}
[Received] 35.45449638366699 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '35.35516309738159'}
[Received] 41.77389454841614 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '41.68525528907776'}
[Received] 42.66561961174011 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '42.56500005722046'}
[Received] 43.14940047264099 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '43.01300001144409'}
[Received] 43.55641841888428 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '43.461000204086304'}
[Received] 44.12038254737854 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '44.021000146865845'}
[Received] 44.68428659439087 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '44.581000089645386'}
[Received] 45.291876554489136 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '45.18900012969971'}
[Received] 45.90282654762268 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '45.79700016975403'}
[Received] 46.48136019706726 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '46.373000144958496'}
[Received] 47.15316820144653 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '47.045000076293945'}
[Received] 47.448131799697876 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '47.350340604782104'}
[Received] 47.67324948310852 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '47.57300019264221'}
[Received] 48.248172998428345 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '48.14900016784668'}
[Received] 48.97755479812622 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '48.86900019645691'}
[Received] 49.796714544296265 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '49.70100021362305'}
[Received] 50.40636467933655 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '50.30900001525879'}
