[Received] 33.59373593330383 -> {'Location': 'entrance', 'Entity_Id': 92570, 'Timestamp': '33.46978974342346'}
[Received] 37.83099126815796 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '37.711981773376465'}
[Received] 39.83311939239502 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '39.65400004386902'}
[Received] 40.24063158035278 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '40.116000175476074'}
[Received] 40.757221698760986 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '40.62700009346008'}
[Received] 41.28616809844971 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '41.15499997138977'}
[Received] 41.7462682723999 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '41.62000012397766'}
[Received] 42.220473527908325 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '42.098999977111816'}
[Received] 42.69478917121887 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '42.562999963760376'}
[Received] 43.1485915184021 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '43.03328084945679'}
[Received] 43.16420364379883 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '43.04299998283386'}
[Received] 43.72814440727234 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '43.60300016403198'}
[Received] 44.446314573287964 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '44.32299995422363'}
[Received] 45.244954109191895 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '45.123000144958496'}
[Received] 46.04200220108032 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '45.92400002479553'}
[Received] 46.73095703125 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '46.61199998855591'}
[Received] 48.22774529457092 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '48.108898878097534'}
[Received] 50.393446922302246 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '50.25999999046326'}
[Received] 50.818763971328735 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '50.69099998474121'}
[Received] 51.33142876625061 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '51.187000036239624'}
[Received] 51.81394600868225 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '51.68300008773804'}
[Received] 54.644001722335815 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '54.52898406982422'}
[Received] 59.710129737854004 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '59.57506847381592'}
[Received] 64.86562657356262 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '64.73585557937622'}
[Received] 71.61281085014343 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '71.50134921073914'}
[Received] 72.80274319648743 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '72.67499995231628'}
[Received] 73.28641319274902 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '73.15499997138977'}
[Received] 73.86682748794556 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '73.69900012016296'}
[Received] 74.28901267051697 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '74.16200017929077'}
[Received] 74.74553680419922 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '74.62600016593933'}
