[Received] 7.352731466293335 -> {'Location': 'entrance', 'Entity_Id': 92570, 'Timestamp': '7.261850833892822'}
[Received] 15.661364078521729 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '15.598209142684937'}
[Received] 17.187326192855835 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '17.04800009727478'}
[Received] 17.698697090148926 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '17.625'}
[Received] 18.404162406921387 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '18.329999923706055'}
[Received] 18.84464383125305 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '18.77300000190735'}
[Received] 18.864633560180664 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '18.8021399974823'}
[Received] 19.405812978744507 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '19.33299994468689'}
[Received] 19.942203044891357 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '19.85599994659424'}
[Received] 20.522377967834473 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '20.450000047683716'}
[Received] 21.09755563735962 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '21.026000022888184'}
[Received] 21.622610330581665 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '21.551000118255615'}
[Received] 22.10219955444336 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '22.01900005340576'}
[Received] 24.640120029449463 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '24.553699731826782'}
[Received] 29.76148748397827 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '29.698979139328003'}
[Received] 36.380669355392456 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '36.320533990859985'}
[Received] 36.80178499221802 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '36.729000091552734'}
[Received] 37.30658268928528 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '37.23200011253357'}
[Received] 37.78386569023132 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '37.712000131607056'}
[Received] 38.296887159347534 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '38.22499990463257'}
[Received] 38.93312406539917 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '38.86199998855591'}
[Received] 39.24891400337219 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '39.189476013183594'}
[Received] 39.61352276802063 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '39.54100012779236'}
[Received] 40.312652349472046 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '40.240999937057495'}
