[Received] 9.731026887893677 -> {'Location': 'entrance', 'Entity_Id': 92570, 'Timestamp': '9.573030710220337'}
[Received] 16.00317358970642 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '15.944251537322998'}
[Received] 17.214478492736816 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '17.099000215530396'}
[Received] 17.516541719436646 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '17.45300006866455'}
[Received] 17.88864302635193 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '17.82800006866455'}
[Received] 18.309467554092407 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '18.248000144958496'}
[Received] 18.693293809890747 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '18.63100004196167'}
[Received] 18.719269037246704 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '18.637958526611328'}
[Received] 19.10253882408142 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '19.040000200271606'}
[Received] 19.458383083343506 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '19.39800000190735'}
[Received] 19.873805046081543 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '19.811000108718872'}
[Received] 20.2429358959198 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '20.180999994277954'}
[Received] 20.629218101501465 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '20.569000005722046'}
[Received] 23.891388177871704 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '23.81055474281311'}
[Received] 28.957165241241455 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '28.90066361427307'}
[Received] 34.53870940208435 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '34.44200325012207'}
[Received] 35.61525201797485 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '35.5550000667572'}
[Received] 35.79504060745239 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '35.73300004005432'}
[Received] 36.19823145866394 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '36.11900019645691'}
[Received] 36.641629695892334 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '36.58300018310547'}
[Received] 37.13783001899719 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '37.07800006866455'}
[Received] 37.34894156455994 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '37.28800010681152'}
[Received] 37.60920333862305 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '37.55085492134094'}
[Received] 37.89006328582764 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '37.807000160217285'}
[Received] 38.26008367538452 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '38.19800019264221'}
[Received] 38.675718784332275 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '38.616000175476074'}
[Received] 39.10522723197937 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '39.045000076293945'}
[Received] 41.458786964416504 -> {'Location': 'bathroom', 'Entity_Id': 103068, 'Timestamp': '41.40346550941467'}
[Received] 46.23832058906555 -> {'Location': 'bathroom', 'Entity_Id': 103068, 'Timestamp': '46.17605447769165'}
[Received] 52.201581954956055 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '52.14100003242493'}
[Received] 52.310033559799194 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '52.25364804267883'}
[Received] 52.575825452804565 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '52.51800012588501'}
[Received] 52.980677366256714 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '52.91800022125244'}
[Received] 53.33137559890747 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '53.271000146865845'}
[Received] 53.74998235702515 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '53.69000005722046'}
[Received] 54.149465799331665 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '54.086000204086304'}
[Received] 54.55280685424805 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '54.48900008201599'}
[Received] 58.81707954406738 -> {'Location': 'kitchen', 'Entity_Id': 92614, 'Timestamp': '58.758854150772095'}
[Received] 62.62921166419983 -> {'Location': 'kitchen_tp', 'Entity_Id': 123, 'Timestamp': '62.569000005722046'}
[Received] 62.91860795021057 -> {'Location': 'kitchen_tp', 'Entity_Id': 123, 'Timestamp': '62.855000019073486'}
[Received] 63.238341093063354 -> {'Location': 'kitchen_tp', 'Entity_Id': 123, 'Timestamp': '63.17300009727478'}
[Received] 63.55949902534485 -> {'Location': 'kitchen_tp', 'Entity_Id': 123, 'Timestamp': '63.49600005149841'}
[Received] 63.90035128593445 -> {'Location': 'kitchen', 'Entity_Id': 92614, 'Timestamp': '63.8429970741272'}
[Received] 63.964303970336914 -> {'Location': 'kitchen_tp', 'Entity_Id': 123, 'Timestamp': '63.9060001373291'}
