[Received] 92.23089289665222 -> {'Location': 'dinner_tp', 'Entity_Id': 123, 'Timestamp': '92.1819999217987'}
[Received] 92.64691138267517 -> {'Location': 'dinner_tp', 'Entity_Id': 123, 'Timestamp': '92.59899997711182'}
[Received] 93.01735043525696 -> {'Location': 'dinner_tp', 'Entity_Id': 123, 'Timestamp': '92.96499991416931'}
[Received] 94.70779061317444 -> {'Location': 'kitchen', 'Entity_Id': 92614, 'Timestamp': '94.60076212882996'}
[Received] 100.94646954536438 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '100.77876424789429'}
[Received] 102.29573011398315 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '102.24399995803833'}
[Received] 102.68223595619202 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '102.63099980354309'}
[Received] 102.94726729393005 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '102.89699983596802'}
[Received] 103.0795214176178 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '103.02899980545044'}
[Received] 103.4618284702301 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '103.41199994087219'}
[Received] 104.01742148399353 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '103.96599984169006'}
[Received] 104.0304160118103 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '103.97773742675781'}
[Received] 104.33726215362549 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '104.27999997138977'}
[Received] 109.10991263389587 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '109.05925488471985'}
[Received] 114.23568367958069 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '114.15451574325562'}
[Received] 119.54110074043274 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '119.50232911109924'}
[Received] 122.47289228439331 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '122.42199993133545'}
[Received] 122.87034797668457 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '122.82099986076355'}
[Received] 123.38838624954224 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '123.33699989318848'}
[Received] 124.1019561290741 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '124.05199980735779'}
[Received] 124.6604425907135 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '124.61099982261658'}
[Received] 125.28731894493103 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '125.2189998626709'}
[Received] 127.54226875305176 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '127.50515627861023'}
[Received] 132.6871747970581 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '132.649160861969'}
[Received] 138.6098017692566 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '138.56959581375122'}
[Received] 141.7049822807312 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '141.66730213165283'}
