[Received] 4.489460468292236 -> {'Location': 'entrance', 'Entity_Id': 92570, 'Timestamp': '4.418140888214111'}
[Received] 12.303375720977783 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '12.251039505004883'}
[Received] 12.778192043304443 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '12.658999919891357'}
[Received] 13.397057294845581 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '13.24399995803833'}
[Received] 13.81304383277893 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '13.750999927520752'}
[Received] 14.375893592834473 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '14.308000087738037'}
[Received] 14.855274200439453 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '14.789999961853027'}
[Received] 15.111581325531006 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '15.05747675895691'}
[Received] 15.426899194717407 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '15.365000009536743'}
[Received] 16.04703426361084 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '15.986000061035156'}
[Received] 16.870882749557495 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '16.805000066757202'}
[Received] 17.37934923171997 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '17.319999933242798'}
[Received] 18.109670400619507 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '17.939000129699707'}
[Received] 18.78064751625061 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '18.641000032424927'}
[Received] 19.22897720336914 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '19.046000003814697'}
[Received] 19.943928241729736 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '19.680999994277954'}
[Received] 20.225870609283447 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '20.164000034332275'}
[Received] 21.127289533615112 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '20.94099998474121'}
