[Received] 5.411287784576416 -> {'Location': 'entrance', 'Entity_Id': 92570, 'Timestamp': '5.340203523635864'}
[Received] 13.078193664550781 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '12.909525632858276'}
[Received] 15.636584281921387 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '15.510999917984009'}
[Received] 16.270357131958008 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '16.14800000190735'}
[Received] 16.860788345336914 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '16.788000106811523'}
[Received] 17.803223848342896 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '17.444999933242798'}
[Received] 18.179301261901855 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '18.1010000705719'}
[Received] 18.818268060684204 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '18.740999937057495'}
[Received] 19.404991388320923 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '19.316999912261963'}
[Received] 20.08729076385498 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '20.005000114440918'}
[Received] 20.642505884170532 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '20.475582361221313'}
[Received] 20.7018985748291 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '20.628999948501587'}
[Received] 21.400644540786743 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '21.316999912261963'}
[Received] 25.62215256690979 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '25.553205251693726'}
[Received] 26.92888379096985 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '26.852999925613403'}
[Received] 27.762402296066284 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '27.68499994277954'}
[Received] 28.412513256072998 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '28.341000080108643'}
[Received] 29.199161052703857 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '29.108999967575073'}
[Received] 29.921585083007812 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '29.84500002861023'}
[Received] 30.55914807319641 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '30.485000133514404'}
[Received] 32.97759461402893 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '32.87461829185486'}
[Received] 38.132802963256836 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '38.05969548225403'}
[Received] 42.85337448120117 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '42.78109002113342'}
