[Received] 114.21318197250366 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '114.20900011062622'}
[Received] 116.21363544464111 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '116.20799994468689'}
[Received] 118.21648240089417 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '118.20799994468689'}
[Received] 120.21015453338623 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '120.20700001716614'}
[Received] 122.21409678459167 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '122.20700001716614'}
[Received] 124.22193717956543 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '124.21600008010864'}
[Received] 126.22250866889954 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '126.21600008010864'}
[Received] 128.2216477394104 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '128.21600008010864'}
[Received] 130.22326016426086 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '130.21600008010864'}
[Received] 132.2234981060028 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '132.21600008010864'}
[Received] 134.22259092330933 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '134.2170000076294'}
[Received] 136.2250952720642 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '136.21600008010864'}
[Received] 138.22316002845764 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '138.21600008010864'}
[Received] 140.23517298698425 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '140.22900009155273'}
[Received] 142.23236441612244 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '142.2300000190735'}
[Received] 144.25089573860168 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '144.24399995803833'}
[Received] 146.2519097328186 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '146.24500012397766'}
[Received] 148.26018834114075 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '148.2539999485016'}
[Received] 150.27188372612 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '150.26600003242493'}
[Received] 152.28690433502197 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '152.2810001373291'}
[Received] 154.28708219528198 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '154.2810001373291'}
[Received] 156.29558753967285 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '156.2920000553131'}
[Received] 158.30437088012695 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '158.30100011825562'}
[Received] 160.3088254928589 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '160.30299997329712'}
[Received] 162.31797337532043 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '162.31200003623962'}
[Received] 164.31987285614014 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '164.31200003623962'}
[Received] 166.33123254776 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '166.32500004768372'}
[Received] 168.33147811889648 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '168.32599997520447'}
[Received] 170.33205103874207 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '170.32599997520447'}
[Received] 172.33190512657166 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '172.3270001411438'}
[Received] 174.33299589157104 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '174.32800006866455'}
[Received] 176.33512139320374 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '176.3289999961853'}
[Received] 178.3348560333252 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '178.33100008964539'}
