[Received] 2.0582802295684814 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '2.0320000648498535'}
[Received] 4.049787521362305 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '4.031000137329102'}
[Received] 6.058900594711304 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '6.038000106811523'}
[Received] 8.059181690216064 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '8.038000106811523'}
[Received] 10.06801700592041 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '10.046000003814697'}
[Received] 12.069014072418213 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '12.047000169754028'}
[Received] 14.069309949874878 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '14.04800009727478'}
[Received] 16.06998300552368 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '16.049000024795532'}
[Received] 18.07104182243347 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '18.049000024795532'}
[Received] 20.071985006332397 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '20.050000190734863'}
[Received] 22.07280731201172 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '22.052000045776367'}
[Received] 24.069200038909912 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '24.051000118255615'}
[Received] 26.072835445404053 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '26.052000045776367'}
[Received] 28.077948808670044 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '28.05400013923645'}
[Received] 30.090068340301514 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '30.0530002117157'}
[Received] 32.072112798690796 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '32.05400013923645'}
[Received] 34.080888986587524 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '34.06400012969971'}
[Received] 36.0885214805603 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '36.06400012969971'}
[Received] 38.092954874038696 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '38.07200002670288'}
[Received] 40.09492516517639 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '40.075000047683716'}
[Received] 42.10352873802185 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '42.08300018310547'}
[Received] 44.115713357925415 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '44.09500002861023'}
[Received] 46.116474866867065 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '46.09700012207031'}
[Received] 48.11860251426697 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '48.098000049591064'}
[Received] 50.1285605430603 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '50.10900020599365'}
[Received] 52.13162589073181 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '52.111000061035156'}
[Received] 54.12975525856018 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '54.11300015449524'}
[Received] 56.14112901687622 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '56.11400008201599'}
[Received] 58.13232135772705 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '58.11400008201599'}
[Received] 60.134692430496216 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '60.11300015449524'}
[Received] 62.13790583610535 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '62.117000102996826'}
[Received] 64.13804721832275 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '64.11700010299683'}
[Received] 66.15246319770813 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '66.13100004196167'}
[Received] 68.16890072822571 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '68.132000207901'}
[Received] 70.16280627250671 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '70.14100003242493'}
[Received] 72.16320872306824 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '72.14200019836426'}
[Received] 74.17194724082947 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '74.15100002288818'}
[Received] 76.18078398704529 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '76.16200017929077'}
[Received] 78.17945051193237 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '78.16200017929077'}
[Received] 80.18432760238647 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '80.16400003433228'}
[Received] 82.18424606323242 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '82.16400003433228'}
[Received] 84.1816475391388 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '84.16400003433228'}
[Received] 86.1836290359497 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '86.16300010681152'}
[Received] 88.20097994804382 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '88.17900013923645'}
[Received] 90.2065818309784 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '90.18500018119812'}
[Received] 92.20708441734314 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '92.18500018119812'}
[Received] 94.21462607383728 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '94.1930000782013'}
[Received] 96.22023057937622 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '96.20000004768372'}
[Received] 98.22725224494934 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '98.20700001716614'}
[Received] 100.23568797111511 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '100.21600008010864'}
[Received] 102.25171113014221 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '102.22500014305115'}
[Received] 104.25726985931396 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '104.23300004005432'}
[Received] 106.25421333312988 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '106.23300004005432'}
[Received] 108.2616548538208 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '108.24400019645691'}
[Received] 110.27331733703613 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '110.25200009346008'}
[Received] 112.27469968795776 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '112.25300002098083'}
[Received] 114.27320313453674 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '114.25300002098083'}
[Received] 116.2845721244812 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '116.26500010490417'}
[Received] 118.28594636917114 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '118.26600003242493'}
[Received] 120.30140662193298 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '120.28000020980835'}
[Received] 122.3016209602356 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '122.28000020980835'}
[Received] 124.30703830718994 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '124.2810001373291'}
