[Received] 2.0110552310943604 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '2.00600004196167'}
[Received] 4.012810468673706 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '4.00600004196167'}
[Received] 6.012290716171265 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '6.00600004196167'}
[Received] 8.013056993484497 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '8.006999969482422'}
[Received] 10.011034488677979 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '10.009000062942505'}
[Received] 12.016597509384155 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '12.009999990463257'}
[Received] 14.018125057220459 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '14.01200008392334'}
[Received] 16.025318145751953 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '16.01900005340576'}
[Received] 18.03946876525879 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '18.032999992370605'}
[Received] 20.051931381225586 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '20.04699993133545'}
[Received] 22.055208206176758 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '22.049999952316284'}
[Received] 24.060362577438354 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '24.05400013923645'}
[Received] 26.062693119049072 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '26.058000087738037'}
[Received] 28.077302932739258 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '28.07100009918213'}
[Received] 30.079013347625732 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '30.072999954223633'}
[Received] 32.08280348777771 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '32.07599997520447'}
[Received] 34.08365845680237 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '34.07800006866455'}
[Received] 36.08503460884094 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '36.0789999961853'}
[Received] 38.09055781364441 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '38.08400011062622'}
[Received] 40.10561203956604 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '40.10000014305115'}
[Received] 42.109909772872925 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '42.1029999256134'}
[Received] 44.12040305137634 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '44.117000102996826'}
[Received] 46.12516808509827 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '46.11899995803833'}
[Received] 48.13776183128357 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '48.13000011444092'}
[Received] 50.137939453125 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '50.13300013542175'}
[Received] 52.14048743247986 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '52.13499999046326'}
[Received] 54.145934104919434 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '54.14199995994568'}
[Received] 56.15307116508484 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '56.1470000743866'}
[Received] 58.15383839607239 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '58.14800000190735'}
[Received] 60.15602254867554 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '60.151000022888184'}
[Received] 62.156054735183716 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '62.151000022888184'}
[Received] 64.15769743919373 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '64.15100002288818'}
[Received] 66.1606514453888 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '66.1560001373291'}
[Received] 68.15838265419006 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '68.15499997138977'}
[Received] 70.16007328033447 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '70.15499997138977'}
